cleaned_text,label,username_encoded
what an insult to ukraine china wants to accommodate both sides russia unilaterally invaded ukraine and set about turning its citizens into unrecognisable chunks of gore but china thinks russia might have a point and should be accommodated pathetic and shameful,r/chinapolitics,Z0FBQUFBQm0yeGJSM1FnSlBUT3hJRFUzV3Noc0xSOHhQRHRuU2N5WUw2RHNHTEc2LWg5REtzLWx5YTVjVzhvcUhvZ2hJVDNSUXdpby1UbkViWnpOX29URHlOaUtRNlVLX0E9PQ==
he wouldnt use them its like that saying the one to first use nukes is the second to die,r/chinapolitics,Z0FBQUFBQm0yeGJSWHlGc0xwS0pSbTZ6bWJUVlNMQm5fM3ZmNURfMkVWaGlyVE5velh0ZklxbkJWZXF1Q0h3ZzhwSU5aelRNNFpmMUMwSkw1Rml5MnYzSE82WlRoQ2pJWXc9PQ==
id take death over tyranny any day we cant let this asshole continue to threaten nukes whenever he feels like expanding his country,r/chinapolitics,Z0FBQUFBQm0yeGJSSUhOMTlxMVZZZHpodnQzemJZMnl2ejBOWUFxMmg1bWc2S1lCX3U2YTZRM0ZBaTlqcWphdTRHRmU1bjNMejR5eWx0U1I2S0F5UkQzcEZFc2E1eXdrNmJrR1BoYm9ndWxEOEdUWVI2ODY4NWs9
at first playing both sides was paying a compliment to one side then the other but now its just ukraine and russia can both be fine,r/chinapolitics,Z0FBQUFBQm0yeGJSbTkyYjlhOUFIYVlHNFJzeGdwSWFBRmpWR3pDRElzcEYxQ051OF9ySEo1OVAyVWxka2tWZ3Q2bUtlWHYzMWwxdEcwelBQSWxMVnU4d2FnVGw1cGNhZEE9PQ==
holy that would present a major change in international politics if china appears on the internationalwester stage as the mediator between the russia and nato i doubt nato would let it happen they rather further escalate the this war then let their face be taken away by china though still very suspense what they will come up with,r/chinapolitics,Z0FBQUFBQm0yeGJSUjlFb2NkLVA2ZzRaeVFTYncwNXVxc01hZWN2QnNZdk1JLVE0dWZnNExuUnVhVmxiYU9sbk82QVdKdmJMb2JVSkluRVY5ZnpmTWtGVm90eENzMUNXLXc9PQ==
holy that would present a major change in international politics if china appears on the internationalwester stage as the mediator between the russia and nato i doubt nato would let it happen they rather further escalate the this war then let their face be taken away by china though still very suspense what they will come up with,r/chinapolitics,Z0FBQUFBQm0yeGJSRXZNRy1taTdzMVVIbWQwbk4zeW9SbGZsUGd4ZGVsWWZQbU0za0xtNU9TMkM2N25TTWhGOXRhT1JOek9KR3EzQUtuOTJVYk9sWHZlOUNXUmg4eEpZdFE9PQ==
you would rather the whole world die from the nuclear war to end putins tyranny than leave most of <number> billion people leading normal lives,r/chinapolitics,Z0FBQUFBQm0yeGJSc2U2eDVGRVFhZFpDaUx2TGo5N0VYLW02ZDZnUHR3a0swSHZTUUlaZ2hiOUpITlN0ckxtajRjUjVSWXlaazYyMDdNc1AwX0prNW5icXBTNXk1aUFOdmc9PQ==
yes living under constant threat of nuclear war because of a mad man cannot be tolerated even if a reset is required hell continue to take over other countries using nuclear war as a threat and most peoples lives wont be normal ideally we appease him for now but put plans in motion to kill him and take over russia and destroy their nuclear arsenal putin has completely changed the game and they can never be trusted again,r/chinapolitics,Z0FBQUFBQm0yeGJSeUFjMGpHbDdFWHJRUGwxTGRPazNfMmt2MHBMaXJfcWdoeFlrVlhQTlJ2YkZ4bXJkV3dhVEVzbWJDem9nTXN1NzQ5RUJhajZmaFhmTmVVNmhBZUMtQW9IeGY4azVUc1RBNGhnSkpZbmh4S1E9
there wont be a reset after a nuclear war plus do you know how many nuclear weapons russia have they more nuclear weapons then nato countries combine,r/chinapolitics,Z0FBQUFBQm0yeGJSVDJtcEZZWlFnMGpNc1NWUDdYYVFJQWt6QTNWRy1VbExONS1zVDlLNXN6YWFqdE1PUzJzQTc2SUtSa1lmb0pGOVN4a3hHTS1jM0VYamVMczV3SUJ5aEtjRDFmdTA3bmJEYXI3SFZvRjFqRDA9
yes im aware but the human race wont go extinct thats what i mean by a reset the main areas that will be impacted are north america europe and asia s america africa and other lower latitudes wont be as impacted but will certainly see some significant post war fatalities,r/chinapolitics,Z0FBQUFBQm0yeGJSOEx5dEd4S3NiTjRMY2hiV0NLenRKZVlpck1CeTljVlh2VDVmQUJmSlAybFBQTXpSaDBTSWFiUjZzVllHMVJaaHhhNFZWdWt2SXZGVGpVeXRxS3ZvNUtzYVBjMnBzWjRUcUlDQXBIdk85SWc9
you are talking about more then half of human population if you think this is the price to pay for get rid of a fucking <number> years old man you are nothing better than him you are just as crazy as him,r/chinapolitics,Z0FBQUFBQm0yeGJSUmRZcHBnTnJ5ZHhsakpIYTdlMUZkNm03c1RadV9fR0JRQmJrY2Z5MzBNRlhhV1NqenBCUl81bnFWbnZUbjR4eXloZWF0T2NTZllmQmk3akhaMUk4dENBTVhCbUNPdE9wOGF1dUc3Z01fN1U9
we cannot allow him to annex countries especially nato countries where we have a defense treaty he will never stop what do you suggest be done,r/chinapolitics,Z0FBQUFBQm0yeGJSS2h3alNkUE1FNWZzR0V0M2g5UGlsVWctYkRJUVF6SnNpSTVkM1V0azVoSjNDVjNDTzBYNVFtSEJWZVZMRHpqY2VSb0JyNzA0X1ZIQWE0V2dudTFTT2RfcjNOVUlWWmNRUldyOXc2RXhMOVk9
not killing half of world population that would be a start,r/chinapolitics,Z0FBQUFBQm0yeGJSemJjOF9yYWpTZ2FzYk5adEc0Z1Nsd1p3X3FaZ1JtRzNBX2tpaXpnZ1h2Tmlpd0VHNDdRbEYtUVZKY1ZMRWR0clBKQ1BrRTd4X185SFFwN0FwZUgzQ2doQ2NIM1Y5S0dTWjdDeWg1bnNzQms9
thats not a solution to the problem,r/chinapolitics,Z0FBQUFBQm0yeGJSdFdlN3llVl9NT1l2SFd0YjNYYWxvTktKVmRnTW1pYzcxWHh6bm1HMnR4QlNmSmNuY1BHZm9ocFZfQU9PV3hjTy1PSGFfd2twT0dnM3F5bFBrekJyaDNWNHZrb3hZUl9ORnBuSnVPenN0S2c9
president xi had a virtual summit with french president emmanuel macron and german chancellor olaf scholz and reiterated that we need to jointly support the peace talks between russia and ukraine and encourage the two sides to keep the momentum of negotiations overcome difficulties keep the talks going and bring about peaceful outcomes state councilor and foreign minister wang had phone calls with various parties in recent days including the eu the us russia and ukraine and put forward a sixpoint initiative for the humanitarian situation in ukraine building consensus on and promoting efforts for deescalation of the situation and peace talks we hope all relevant parities can remain coolheaded and exercise restraint encourage and support all diplomatic efforts that are conducive to the peaceful resolution of the ukraine crisis and jointly cool down the situation yesterday i made clear my position on relevant issues china welcomes all diplomatic efforts to peacefully resolve the ukraine crisis including the trilateral foreign ministers meeting of turkey russia and ukraine we note that this is the highestlevel meeting between the two sides since the conflict broke out between russia and ukraine we hope relevant parties can meet each other halfway on the principle of mutual respect sit down for serious negotiations and make positive efforts for a peaceful settlement of the crisis,r/chinapolitics,Z0FBQUFBQm0yeGJSYjRmcVlQUGI2MkZiSUpFMmJLa01xTVRELUxvQ25BUEV6cmZBWk12MTZaRDN6V0pNVll0R3hkanBYcXM0ZWFrd3M4SEk3U1BlUFQ1aHpHWDduTC00MWc9PQ==
we have been taking concrete actions to promote talks for peace ever since the conflict broke out our just position and constructive efforts witnessed by all have received the understanding and support of the international community especially the vast developing world what china provides to ukraine are muchneeded humanitarian supplies such as food baby formula sleeping bags quilts and dampproof mats the red cross society of china has provided three batches of humanitarian supplies to ukraine the third batch are mainly supplies to help the ukrainian red cross society deliver relief to displaced children affected by the conflict we welcome all initiatives and measures proposed by all parties with an eye on alleviating and resolving the humanitarian crisis in ukraine you just mentioned that there are discussions in the us about ways to support ukrainian refugees we hope the us can come up with a plan and take concrete actions to follow through on the discussions as soon as possible,r/chinapolitics,Z0FBQUFBQm0yeGJSUzhtdjZjVVpGaXFhNV83ekJjbDJqS19NUERKTzYtOFZtcWxVbHdQNjdraUk4VDRhZExDOGN1a2NHS2V5MFdQQjVoMUpnNVo5dVFPZ1ZpbVVWQW1HbFE9PQ==
,r/chinapolitics,Z0FBQUFBQm0yeGJSMlFhaTlfVU1YTVBoMWVIRlNGUENTOVRaRFhOcG9hWGtwRnNTdUh0dzNMTzlBQmpvVFkwSXlvZmVqMWRfZEo0bTFTWnFLejZnMlNtRVFia05TVG5fT3c9PQ==
the ministry added both sides agreed to continue their countries consultation over korean peninsula issues through various channels including an early facetoface meeting,r/chinapolitics,Z0FBQUFBQm0yeGJST0xhMEJtRERraHJNcEtJdmdwdlRIWXdLMjd4YzJQU1ZfZ1pwTzBETllvTld5TjdWc2J6LXlrUU9aSTYzbldFNXNyenBhTjUzQlFLRmhCQ1ZOZlBjRXlZUDNrV1VrdjBuYUhsWUFJbkZBZjQ9
reminder to respect ukr opsec by not sharing videos of ukr soldier locations or any other such classified intelligence you discover or witness online <url> news sources <url> godspeed ukrainians  ways to help ukraine charities <url> please message me if there are any translation errors typos or dead links this comment was made by a bot original comment from iamkunii on rworldnews,r/chinapolitics,Z0FBQUFBQm0yeGJSNWFxUzJyN05ZZUFrR2JJemxvTThKcFp2U0tVUHNTOE1fRmZ1T3p6R01pWjF4eVN0U1p1eVBMeENqWUxVcWtCcmdXQTZfY0FYaGxGTlhkYi1Va29ndUdLYVNxcmgwQ1lKS1IyTmZ0REpZMjg9
chinese president xi jinping on friday said china and the eu should play a constructive role in adding stabilizing factors to a turbulent world he made the remarks when meeting via video link with european council president charles michel and european commission president ursula von der leyen,r/chinapolitics,Z0FBQUFBQm0yeGJSaGU0WUlRM3MtRFBvSVRSUGVGcnR5blM1TV8wazhCOFl3QmRfOHFTR1NzZHdyN21BTGstUWxvSkc1bzMzdmRvR2hTZmxpeURyRm5ZY1ZuVmtJeE9WclE9PQ==
the federation also selected <number> outstanding figures as role models the resolution listed several types of misconduct in the entertainment industry that should be avoided literary and art workers should resolutely resist committing illegal acts such as tax evasion soliciting prostitutes gambling and abusing drugs and oppose pompous exhibition of wealth and comparing luxury items with others the resolution noted it also requested the promotion of brilliant chinese traditional culture and asked not to follow overseas trends blindly the resolution also advocated the creation of film and tv works about realistic themes that praise a positive spirit this trend of productions that tell stories grounded in reality has been felt by industry insiders,r/chinapolitics,Z0FBQUFBQm0yeGJSQjlRUTVPWkc5WlJNV3JfSW8yZUhKTFNNamZJYXFiTTJkSHFDdHY5bjFqUG5IeE96VFVyaWN6eTNOZHBvUzNOM3VpdWMzMjJPV3Ata1VzLWtDTGtsb3c9PQ==
yu an influential economist in china wrote on his blog last week if china encounters the same sanctions as it did on russia our overseas assets risk turning into zero after russian troops flooded into ukraine the us and its allies launched a series of sanctions including removing some russian banks from the swift international payment system russias central banks foreign exchange reserves were also frozen sending the ruble plunging michael pettis a professor of finance at peking university said a country with a large trade surplus like china has to invest in foreign assets and has few options other than us bonds with the imposition of sanctions washington has demonstrated that its ability to control the global payment system gives the united states enormous power countries such as china iran russia and venezuela concerned about that power now have more reason to hold foreign currencies other than the dollar but desire is just desire what other options do these countries have china has been accumulating foreign income from its exports since joining the world trade organization wto in <number> in <number> chinas trade surplus with the rest of the world grew <number> percent yearonyear to <cur><number> billion the highest ever,r/chinapolitics,Z0FBQUFBQm0yeGJSbjJLSnluekIxLXRQS21GeFJZN0E3enR5WThpRm1UWWVoQXpCQnZRZDZQNXFHR0hkQzUwMVZzRGF1aXE2MFZVSlVIRW1HaWwxdEJMY2dZVVdmY2hHNHc9PQ==
